date,os_version,visits
2016-09-28,10,5880
2016-09-28,7,20683
2016-09-28,8,282
2016-09-28,8.1,1800
2016-09-28,Vista,240
2016-09-28,XP,303
2016-09-29,10,5735
2016-09-29,7,20370
2016-09-29,8,275
2016-09-29,8.1,1661
2016-09-29,Vista,258
2016-09-29,XP,305
2016-09-30,10,4914
2016-09-30,7,18547
2016-09-30,8,198
2016-09-30,8.1,1507
2016-09-30,Vista,228
2016-09-30,XP,280
2016-10-01,10,3069
2016-10-01,7,3387
2016-10-01,8.1,854
2016-10-01,Vista,121
2016-10-01,XP,147
2016-10-02,10,3558
2016-10-02,7,3673
2016-10-02,8,111
2016-10-02,8.1,1008
2016-10-02,Vista,158
2016-10-02,XP,166
2016-10-03,10,6446
2016-10-03,7,23864
2016-10-03,8,277
2016-10-03,8.1,1890
2016-10-03,Vista,257
2016-10-03,XP,359
2016-10-04,10,6875
2016-10-04,7,24089
2016-10-04,8,285
2016-10-04,8.1,2019
2016-10-04,Vista,275
2016-10-04,XP,539
2016-10-05,10,6246
2016-10-05,7,21409
2016-10-05,8,267
2016-10-05,8.1,1832
2016-10-05,Vista,239
2016-10-05,XP,322
2016-10-06,10,6256
2016-10-06,7,21350
2016-10-06,8,288
2016-10-06,8.1,1823
2016-10-06,Vista,254
2016-10-06,XP,299
2016-10-07,10,5670
2016-10-07,7,19108
2016-10-07,8,222
2016-10-07,8.1,1722
2016-10-07,Vista,224
2016-10-07,XP,317
2016-10-08,10,2982
2016-10-08,7,3386
2016-10-08,8,106
2016-10-08,8.1,886
2016-10-08,Vista,115
2016-10-08,XP,115
2016-10-09,10,3376
2016-10-09,7,3101
2016-10-09,8.1,978
2016-10-09,Vista,120
2016-10-09,XP,118
2016-10-10,10,5592
2016-10-10,7,10648
2016-10-10,8,269
2016-10-10,8.1,1556
2016-10-10,Vista,250
2016-10-10,XP,274
2016-10-11,10,6619
2016-10-11,7,21669
2016-10-11,8,287
2016-10-11,8.1,1903
2016-10-11,Vista,209
2016-10-11,XP,352
2016-10-12,10,6550
2016-10-12,7,22279
2016-10-12,8,247
2016-10-12,8.1,1883
2016-10-12,Vista,230
2016-10-12,XP,366
2016-10-13,10,6118
2016-10-13,7,21555
2016-10-13,8,289
2016-10-13,8.1,1896
2016-10-13,Vista,235
2016-10-13,XP,337
2016-10-14,10,5514
2016-10-14,7,20576
2016-10-14,8,249
2016-10-14,8.1,1850
2016-10-14,Vista,242
2016-10-14,XP,244
2016-10-15,10,3583
2016-10-15,7,3796
2016-10-15,8.1,1015
2016-10-15,Vista,156
2016-10-15,XP,146
2016-10-16,10,4337
2016-10-16,7,4279
2016-10-16,8,132
2016-10-16,8.1,1154
2016-10-16,Vista,204
2016-10-16,XP,162
2016-10-17,10,7294
2016-10-17,7,27351
2016-10-17,8,259
2016-10-17,8.1,2063
2016-10-17,Vista,273
2016-10-17,XP,351
2016-10-18,10,6941
2016-10-18,7,24767
2016-10-18,8,234
2016-10-18,8.1,1855
2016-10-18,Vista,272
2016-10-18,XP,381
2016-10-19,10,6182
2016-10-19,7,22279
2016-10-19,8,236
2016-10-19,8.1,1925
2016-10-19,Vista,240
2016-10-19,XP,297
2016-10-20,10,6369
2016-10-20,7,22225
2016-10-20,8,241
2016-10-20,8.1,1888
2016-10-20,Vista,252
2016-10-20,XP,288
2016-10-21,10,5495
2016-10-21,7,23126
