date,os,visits
2016-10-29,Linux,391
2016-10-29,Macintosh,4284
2016-10-29,Windows,8252
2016-10-29,iOS,6799
2016-10-30,Android,3009
2016-10-30,Chrome OS,242
2016-10-30,Linux,465
2016-10-30,Macintosh,5748
2016-10-30,Windows,9836
2016-10-30,iOS,7385
2016-10-31,Android,3269
2016-10-31,Chrome OS,506
2016-10-31,Linux,478
2016-10-31,Macintosh,8560
2016-10-31,Windows,32496
2016-10-31,iOS,7454
2016-11-01,Android,3616
2016-11-01,Chrome OS,673
2016-11-01,Linux,528
2016-11-01,Macintosh,8828
2016-11-01,Windows,33021
2016-11-01,iOS,8104
2016-11-02,Android,3791
2016-11-02,Chrome OS,684
2016-11-02,Linux,478
2016-11-02,Macintosh,8374
2016-11-02,Windows,31295
2016-11-02,iOS,8334
2016-11-03,Android,3278
2016-11-03,Chrome OS,623
2016-11-03,Linux,466
2016-11-03,Macintosh,7495
2016-11-03,Windows,30826
2016-11-03,iOS,7573
